CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.01.04;Provisões Cíveis;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.01.04;Provisões Cíveis;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.02;Outras Provisões;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.02;Outras Provisões;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.02.01;Provisões para Garantias;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;ÚLTIMO;2019-12-31;2.01.06.02.01;Provisões para Garantias;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Passivo;REAL;MILHAR;PENÚLTIMO;2018-12-31;2.01.06.02.02;Provisões para Reestruturação;0.00
